Continent,ISO_code,Country,WHO_Region,pop_year,age,gender,population,Vaccine,vac_year,Percent_covrage,vac_population,deaths_averted_1000FVP,mid,low,high,vac_deaths_averted,suspension_period,covid_deaths,benefit_risk_ratio
Africa,GNB,Guinea-Bissau,AFR,2020,0,both,62751,YFV,2018,80,50200.8,40 (14-84),40,14,84,2008.032,0.0833333333333333,5.02008,33.3333333333333
Africa,GNQ,Equatorial Guinea,AFR,2020,0,both,41997,HepB3,2018,46,19318.62,,,,,,0.0833333333333333,1.931862,
Africa,GNQ,Equatorial Guinea,AFR,2020,0,both,41997,Hib3,2018,46,19318.62,,,,,,0.0833333333333333,1.931862,
Africa,GNQ,Equatorial Guinea,AFR,2020,0,both,41997,MCV1,2018,39,16378.83,,,,,,0.0833333333333333,1.637883,
Africa,GNQ,Equatorial Guinea,AFR,2020,0,both,41997,YFV,2018,39,16378.83,,,,,,0.0833333333333333,1.637883,
Africa,KEN,Kenya,AFR,2020,0,both,1418463,HepB3,2018,81,1148955.03,3.5 (0.32-11),3.5,0.32,11,4021.342605,0.0833333333333333,114.895503,2.91666666666667
Africa,KEN,Kenya,AFR,2020,0,both,1418463,Hib3,2018,81,1148955.03,1.8 (0.77-2.7),1.8,0.77,2.7,2068.119054,0.0833333333333333,114.895503,1.5
Africa,KEN,Kenya,AFR,2020,0,both,1418463,MCV1,2018,79,1120585.77,12 (5.8-18),12,5.8,18,13447.02924,0.0833333333333333,112.058577,10
Africa,KEN,Kenya,AFR,2020,1,both,1411999,MCV2,2018,45,635399.55,,,,,,0.0833333333333333,63.539955,
Africa,KEN,Kenya,AFR,2020,0,both,1418463,PCV3,2018,81,1148955.03,1.8 (0.9-3),1.8,0.9,3,2068.119054,0.0833333333333333,114.895503,1.5
Africa,KEN,Kenya,AFR,2020,0,both,1418463,RCV1,2018,79,1120585.77,0.16 (0.02-0.58),0.16,0.02,0.58,179.2937232,0.0833333333333333,112.058577,0.133333333333333
Africa,KEN,Kenya,AFR,2020,0,both,1418463,RotaC,2018,78,1106401.14,0.6 (0.41-0.82),0.6,0.41,0.82,663.840684,0.0833333333333333,110.640114,0.5
