Continent,ISO_code,Country,WHO_Region,pop_year,age,gender,population,Vaccine,vac_year,Percent_covrage,vac_population,deaths_averted_1000FVP,mid,low,high,vac_deaths_averted,hh_size,under_20_in_hh_at_least_one_under_20,percent_hh_at_least_one_under_20,percent_hh_under_20_and_over_60,suspension_period,child_covid_deaths,child_covid_deaths_low,child_covid_deaths_high,sibling_covid_deaths,sibling_covid_deaths_low,sibling_covid_deaths_high,parent_covid_deaths,parent_covid_deaths_low,parent_covid_deaths_high,grandparent_covid_deaths,grandparent_covid_deaths_low,grandparent_covid_deaths_high,covid_deaths,covid_deaths_low,covid_deaths_high,benefit_risk_ratio,child_benefit_risk_ratio,sibling_benefit_risk_ratio,parent_benefit_risk_ratio,grandparent_benefit_risk_ratio
Africa,AGO,Angola,AFR,2020,0,both,1211118,HepB3,2018,84,1017339.12,17 (5.7-39),17,5.7,39,17294.76504,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.190046431209847,0.0789391873189106,0.779685091566071,0.236574068059055,0.0982652741986499,0.970569522103319,7.36429920938157,3.05889350860779,30.2127972981852,50.7070179231217,21.0620676259732,208.030772589341,58.4979376317721,24.2981655960985,239.993824501196,147.823716015987,45501.420179007,36552.5376088193,1174.23019816792,170.536207297983
Africa,AGO,Angola,AFR,2020,0,both,1211118,Hib3,2018,84,1017339.12,6 (2.8-8.4),6,2.8,8.4,6104.03472,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.190046431209847,0.0789391873189106,0.779685091566071,0.236574068059055,0.0982652741986499,0.970569522103319,7.36429920938157,3.05889350860779,30.2127972981852,50.7070179231217,21.0620676259732,208.030772589341,58.4979376317721,24.2981655960985,239.993824501196,52.1730762409366,16059.3247690613,12900.8956266421,414.434187588679,60.1892496345821
Africa,AGO,Angola,AFR,2020,0,both,1211118,MCV1,2018,79,956783.22,18 (11-25),17.2577319587629,10.5463917525773,23.9690721649485,16511.9083534021,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.0607765113393845,0.0249550022031557,0.267709629475839,0.0756559670100794,0.0310645475005233,0.33325096241218,2.35508981440115,0.967006335372283,10.3737481421888,16.2160143190908,6.65833994319906,71.428634011204,18.7075366118414,7.68136582827502,82.4033427452808,441.31701292383,135841.199087566,109124.957395642,3505.57933129202,509.123512981946
Africa,AGO,Angola,AFR,2020,1,both,1185592,MCV2,2018,35,414957.2,,0.742268041237113,0.45360824742268,1.03092783505155,308.009468041237,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.0263587931351464,0.010822992736239,0.116105755136813,0.032812017996924,0.0134727045590162,0.144531052979653,1.02140323398692,0.41939096852926,4.49909801155151,7.03289079109249,2.88772424277888,30.9786222725708,8.11346483621148,3.3314109086034,35.7383570922388,18.9813768999497,5842.63221882003,4693.54655465128,150.777605646969,21.8977855045998
Africa,AGO,Angola,AFR,2020,0,both,1211118,PCV3,2018,82,993116.76,5.6 (3.2-8.7),5.6,3.2,8.7,5561.453856,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.185521516181041,0.0770596828589365,0.761121160814498,0.230941352152887,0.0959256248129678,0.947460723958002,7.18895875201534,2.98606271078379,29.4934449815618,49.4997079725712,20.5605898253548,203.077658956261,57.1051295929204,23.7196378438105,234.279685822596,48.6948711582075,14988.7031177906,12040.8359181993,386.805241749434,56.1766329922767
Africa,AGO,Angola,AFR,2020,0,both,1211118,RCV1,2018,79,956783.22,0.3 (0-1.2),0.3,0,1.2,287.034966,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.0607765113393845,0.0249550022031557,0.267709629475839,0.0756559670100794,0.0310645475005233,0.33325096241218,2.35508981440115,0.967006335372283,10.3737481421888,16.2160143190908,6.65833994319906,71.428634011204,18.7075366118414,7.68136582827502,82.4033427452808,7.67163983039632,2361.39718843976,1896.97506583823,60.9392822823164,8.85035497477576
Africa,AGO,Angola,AFR,2020,0,both,1211118,RotaC,2018,75,908338.5,3.3 (1.7-5),3.3,1.7,5,2997.51705,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.114253078813181,0.047181733200893,0.485614880003362,0.142224799860938,0.0587328816981958,0.604504314766911,4.42730680401075,1.8282921615346,18.8175766001303,30.4843025900063,12.588739371906,129.568770469967,35.1680872726912,14.5229461483397,149.476466264868,42.6170042566922,13117.8830414774,10537.9548887777,338.526013973609,49.1649274433899
Africa,AGO,Angola,AFR,2020,0,both,1211118,YFV,2018,74,896227.32,14 (4.1-29),14,4.1,29,12547.18248,4.81565736350675,3.48964494153361,79.8157300085367,8.9667121457471,0.5,0.0569298966976514,0.0233755716839686,0.250765982040659,0.0708676146676693,0.0290984368992244,0.312159129348118,2.20603349703399,0.905803402753784,9.71718180407554,15.1896842988952,6.23692602274342,66.9078343902417,17.5235153072945,7.1952034340804,77.1879413057061,358.009858751829,110198.535460522,88525.5030724505,2843.83317317477,413.016565489535
Africa,BDI,Burundi,AFR,2020,0,both,422833,HepB3,2018,90,380549.7,4.6 (1-8.1),4.6,1,8.1,1750.52862,4.83019337510145,3.21892838096935,86.97775835395,13.4901340739825,0.5,0.071089483301279,0.029528289497464,0.291651939709092,0.0788712360428273,0.032760579803701,0.323577383192633,2.75471747792456,1.14422121802673,11.3015126637273,26.1864741393913,10.8770208109233,107.432711875654,29.09115233666,12.0835308982512,119.349453862283,30.0869590819547,12312.1489896137,11097.3829486421,317.73287715132,33.424290163729
Africa,BDI,Burundi,AFR,2020,0,both,422833,Hib3,2018,90,380549.7,5 (1.9-7.7),5,1.9,7.7,1902.7485,4.83019337510145,3.21892838096935,86.97775835395,13.4901340739825,0.5,0.071089483301279,0.029528289497464,0.291651939709092,0.0788712360428273,0.032760579803701,0.323577383192633,2.75471747792456,1.14422121802673,11.3015126637273,26.1864741393913,10.8770208109233,107.432711875654,29.09115233666,12.0835308982512,119.349453862283,32.7032163934291,13382.7706408844,12062.3727702632,345.361822990566,36.3307501779663
