Continent,ISO_code,Country,WHO_Region,pop_year,age,gender,population,Vaccine,vac_year,Percent_covrage,vac_population,deaths_averted_1000FVP,mid,low,high,vac_deaths_averted,suspension_period,covid_deaths,benefit_risk_ratio
Africa,BWA,Botswana,AFR,2020,0,both,53410,PCV3,2018,77,41125.7,,,,,,0.5,5.36616681137481,
Africa,BWA,Botswana,AFR,2020,0,both,53410,RCV1,2018,79,42193.9,,,,,,0.5,2.06157121107474,
Africa,BWA,Botswana,AFR,2020,0,both,53410,RotaC,2018,74,39523.4,,,,,,0.5,3.64173517360793,
Africa,CAF,Central African Republic (the),AFR,2020,0,both,153152,HepB3,2018,74,113332.48,0.34 (0.05-1.2),0.34,0.05,1.2,38.5330432,0.5,14.7878575398546,1.30286091464399
Africa,CAF,Central African Republic (the),AFR,2020,0,both,153152,Hib3,2018,74,113332.48,3.6 (2.2-4.3),3.6,2.2,4.3,407.996928,0.5,14.7878575398546,13.7949979197599
Africa,CAF,Central African Republic (the),AFR,2020,0,both,153152,MCV1,2018,72,110269.44,15 (8.5-20),15,8.5,20,1654.0416,0.5,5.38770540209209,153.501488718901
Africa,CAF,Central African Republic (the),AFR,2020,0,both,153152,MenA,2018,66,101080.32,0.01 (0-0.04),0.01,0,0.04,1.0108032,0.5,4.93872995191775,0.102334325812601
Africa,CAF,Central African Republic (the),AFR,2020,0,both,153152,PCV3,2018,73,111800.96,3.3 (2-4.7),3.3,2,4.7,368.943168,0.5,14.5880216271539,12.6454147597799
Africa,CAF,Central African Republic (the),AFR,2020,0,both,153152,YFV,2018,70,107206.4,2 (0.51-4.3),2,0.51,4.3,214.4128,0.5,5.23804691870064,20.4668651625201
Africa,CIV,Côte d'Ivoire,AFR,2020,0,both,870441,HepB3,2018,94,818214.54,0.45 (0.01-1.8),0.45,0.01,1.8,368.196543,0.5,106.762333750728,1.72437473996998
Africa,CIV,Côte d'Ivoire,AFR,2020,0,both,870441,Hib3,2018,94,818214.54,1.9 (1.1-2.5),1.9,1.1,2.5,1554.607626,0.5,106.762333750728,7.28069334653993
Africa,CIV,Côte d'Ivoire,AFR,2020,0,both,870441,MCV1,2018,90,783396.9,13 (7-19),13,7,19,10184.1597,0.5,38.2763502753999,133.034623556381
Africa,CIV,Côte d'Ivoire,AFR,2020,0,both,870441,MenA,2018,28,243723.48,0.02 (0-0.08),0.02,0,0.08,4.8744696,0.5,11.9081978634578,0.204668651625201
